id,name,location.lat,location.lon,building_type,food_type,image link,image source
"('node', 5004996021)",Phở Cao Vân,10.7847219,106.6994425,restaurant,vietnamese,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxQjxphFUakWWcnYb-AoqlSWzjMdJwGwcbabq8BpXOGwo_DA2HkPK8kjT93uTh1S9Ntm-WrWV1w4n74ehg-R-cfK7UK83YOpy7g4DJYYKY7XKl9o5e6L8fD3hvEcUYOoZYeT_TZzvE09jk=s1360-w1360-h1020-rw,
"('node', 5015735721)",Nhà hàng Baoz Dimsum,10.7531751,106.6696534,restaurant,chinese;breakfast,https://lh3.googleusercontent.com/p/AF1QipPoolt9kXl5auV6v7gWbSrxPyvcbK0xIcfZ2ERY=s1360-w1360-h1020-rw,
"('node', 5015735821)",Phở Hòa Pasteur,10.7868014,106.689046,restaurant,beef_bowl;noodle,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzz4xD7a7fwbJvC_Qzz4PzKBPZqBMAciwXnC49KBPvTkXPt3ErpGtTqlxCE9mDTOx5Sex9Cu4X_zwzANP-5QxrK84kYdYZ8r0nIYFAL84T5ra5-7-D83XUEROilTMmS3Q2krCgM89X-8yg=s1360-w1360-h1020-rw,
"('node', 5018135721)",Quán Ốc Cây Bàng,10.8133207,106.667167,restaurant,vietnamese,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz0yNHmzxciTzu5-glRAbbotvZzdQ07X7stJdDzyVEAUfcahTIR5zTtXrkfhabJtUMx5oj9NbboaogDTKA7JIMtY5NNoQQlqyFMizatz8rk1RE88IN1tdNY-HCkREhabocBZM32=s1360-w1360-h1020-rw,
"('node', 5047033522)",Phở Quỳnh,10.76755,106.6905896,restaurant,vietnamese;beef_bowl;noodle,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxPVSa71OloXxLP3mAjGaMHBmF1XYMoP7T-Sriag-VeDDxiUSUXuAUODs74tTRjvm0-BQmJMRCTw_zl1X3-AlNF_ver9HmWtsPD_CzdM-6ikudDW3Hw4diG4JESCAhPBMnhuObWzRQlYSQ=s1360-w1360-h1020-rw,
"('node', 5164798028)",Nhà Hàng La Fiesta,10.7691924,106.6972256,restaurant,american;chinese,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxddWUvOOyoVqujeHhDZu7P2ePEEZC7WC5cUCbt9H8YL6wsK73-OLsiyYs8Uv79a_n-fFcuXbHrnNnKEwwHGodpMfJZRw3H7cn10Dw_MqlcDLUp9kqo4RReXnCwYMhVvgiHyzU-IlPqDmFX=s1360-w1360-h1020-rw,
"('node', 5196266021)",Nhà hàng Hương Huyền,10.7369559,106.6571496,restaurant,vietnamese,https://lh3.googleusercontent.com/p/AF1QipNrZSAY6nP0zjJurrh2vInlRpkvrNbvdPo6b9Yp=s1360-w1360-h1020-rw,
"('node', 5201534721)",Quán Lẩu Bàu Sen,10.7576984,106.678182,restaurant,vietnamese;grill,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwcXmcJKJVKwNBFNiyg_3SrSvFWNuciNKuqhNxTl8BvYLCrn1aSQd-zOinHM4FuG9dOd3hNOevPoanc1CVWGVzGCIVuNkVQtCQv1_rGiSxqNG0BomeLnubZu0_-IanfRn3kj_IbieUiHr9w=s1360-w1360-h1020-rw,
"('node', 5211544999)",Nhà Hàng Ấn Độ Baba's Kitchen,10.7666611,106.6921932,restaurant,indian,https://lh3.googleusercontent.com/p/AF1QipMmJ_MC4hfunyA76Ft7YXqabNllIGFVGBp1ncbt=s1360-w1360-h1020-rw,
"('node', 5319673321)",Ông Tây Quán Texas Beef,10.9736252,106.6657943,restaurant,american;steak_house;italian;mexican,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwFrajj0j7ly1NNg96qV4utAC3-4Qc68h9wM2IJQP7g3oXAJGb2Ww87L6eFy1r_cifPJP4VkA3c_4-ZVbam7aZv4aiIMCOQKqpo3ZzaFZedRo_9q0e1ASmSoi5KOL0PN7bIJUpe=s1360-w1360-h1020-rw,
"('node', 5333009921)",Nhà Hàng Margherita,10.768706,106.6942217,restaurant,vietnamese;italian;mexican,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwC7BUqWGDnu4DFgqm-yg0qxC_FVLZjofEkz490Upye8ET1EcZCpbrvotgOJgdQYy5Zey_0-YPilcpteXwf4t-owNQ07V9K_javWKvkQpJGxI1L0RLwWXFmsqCIkkPzROvUL00=s1360-w1360-h1020-rw,
"('node', 5336398121)",King BBQ Buffet,10.771603,106.6698119,restaurant,korean,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzabpaA-yGeQPA01-kF8VcU-j_E9RZXZ0gM75IEYBtsEMZlpVkzQspmRgrVMg5ilsBLayNWPxxkx_Xje0K3Gi0rpF0IiXhm2x4li9Ncj5MYAoJQ2l6FVSWDkGGpfnTDfFQfmLpF=s1360-w1360-h1020-rw,
"('node', 5338832321)",Bún thịt nướng Kiều Bảo,10.7651333,106.6948075,restaurant,vietnamese,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxCw70m2N-RUX6JBxdfcxpXQeJzaC44O0TlO0_F4XVTNM6-GLN4EnZxoao6jzQAebCOEYKiE7AGnNYRjQCUnXZLlUagmfhJcvZCtjZwpKP6Y2kIQUVcfniEdk_69AZom8SqbBpl__yMfq8h=w520-h350-n-k-no,
"('node', 5358262721)",Bánh Canh Cua 270,10.9785012,106.6604214,restaurant,seafood;vietnamese;local,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIiJRkqv6vrdXFGJ62tjLgq4S2zCb4FYdQvB4UwygW-GE5tDMyNqQ0BWFnUV8NJJ3NGhKtxsipM4QB2PHRWphDvrzxAX9RwWvlotKspRXCMKK_G3Z-QVBFKzaqb_bSb73T2R1x=s1360-w1360-h1020-rw,
"('node', 5366253649)",Buffalo Wild Wings,10.7706888,106.6696459,restaurant,wings,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c5/f3/2c/buffalo-wild-wings.jpg?w=1400&h=-1&s=1,
"('node', 5366253654)",Nhà Hàng Món Việt 88,10.7705228,106.6694743,restaurant,vietnamese,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyRpXjZj0goO4mQjOKRXAOdkNC8B4uTzhFuEUP7S7usxRTStqg-6UVTvFtNgWLaw5oPLV2INnFdE4UtotJTlBXAJMLfBrZxQGGI-gsXGN-L5-Iwt6AujLYa8eRzjaVAoCF-brE=s1360-w1360-h1020-rw,
"('node', 5366253656)",Nhà Hàng Lẩu Hoàng Yến,10.7704859,106.6694797,restaurant,hotpot,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGR0BV7E-DtmA4bUZJw_f7NkLuY1IIkildvg7dkjx5HtENpcB7tGQ1H0UNMk288-exzGGAiCVT5jGrAk5eaUzt9PPOSVKaOYJfcgrwauqMEXfBSCgt30RFXi-9EvK23Jc9GxRu=s1360-w1360-h1020-rw,
"('node', 5366253658)",Nhà Hàng Lẩu Mắm Bà Dú,10.7704121,106.6696513,restaurant,seafood,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzBS1QIg3JIh66G2ZXDXGVLTQ5vdUHqc5H6ZC0ndmb8mi_ceWdW2_nf92leJjf8KR7szLQHSDzM2aRCiC_yMPMq-McxKuKUmWEos8B3l8RcuPPwNCOZP9uAPG0BnqxS9yjaPEmN=s1360-w1360-h1020-rw,
